,C1,C2,C3,C4,D1,D2,D3,D4,BH1,BH2,BH3,BH4
IL-1¦Â,1503.25,1456.625,1323.125,1265,1369.5,1524.25,1354,1358.875,1462.75,1291.5,1338.125,1461.75
IL-2,1780,1519.125,1501.5,1348.375,1619.375,1557.25,1499.25,1414.125,1448.5,1376.75,1379.5,1690.375
IL-4,1451.25,1519.25,1468.375,1523.125,1587.625,1578.5,1371.875,1584.75,1516.125,1521.75,1403.5,1652
IL-5,1881.875,1631.375,1873.125,1844.25,1747,1455.25,1767,1642.75,1760,1523.5,1517.875,2101.125
IL-6,1698.5,1672.25,1625.625,1591.875,1953.625,2207.125,1557.125,2343.25,2104.75,1737.75,1831.75,1795.5
IL-10,1654.75,1640.875,1419.25,1432.5,1892.5,1678.375,1557.75,1693.25,1762,1669.75,1539.5,1827.375
IL-12p70,2278.375,1795,1842.875,2079.25,2198.875,1471.625,2097.625,2056.5,2110,2148.5,2579.125,2594
IL-13,659.5,483,412.25,676.75,651.75,515.875,362.75,740.5,647.25,671.125,371.25,650
IL-17,1623.75,1252.25,1418.75,1318.75,1791.375,2464.25,1484.5,1187.75,1569.5,1713.125,2878.125,1657.625
IL-17F,547.875,295.5,301.25,454.5,348.5,365.5,361.5,668.25,445,359.625,972,451.75
IL-21,5659.25,5582.625,8508.75,7406.5,5718.5,7304.625,6702,4439.625,4702.375,7723.375,8704.75,6489.5
IL-22,551.75,192.375,197.5,346,490.375,658.5,255.375,769.75,401.125,358,585.5,222.375
MIP-3a,9575.5,6879,3334.5,3263.5,6656.5,3221.375,6671.625,14086,4698,6316.375,10304.5,5511
TGF-¦Â1,2171.25,1830.875,1823.875,1866.875,1819.875,2322.875,1844.25,2138.375,1835.875,2115.125,1796.25,2115
TNF-¦Á,1535.625,1331.125,1331.75,1395.125,1424,1482.75,1295,1753.75,1534.125,1352.5,1887.5,1911
